 区站号 站名              经度    纬度     台站高度
53890 武安                  114.20   36.71  845.00
53893 曲周                  114.95   36.76  589.00
53894 峰峰                  114.21   36.41 1376.00
53895 永年                  114.50   36.76 1313.00
53896 魏县                  114.95   36.35  220.00
53897 磁县                  114.38   36.38 1332.00
53898 安阳                  114.37   36.12  955.00
53899 广平                  114.96   36.48  904.00
53903 西吉                  105.71   35.96  965.00
53906 静宁                  105.72   35.52 1082.00
53908 通渭                  105.40   35.11  146.00
53914 隆德                  106.12   35.62  922.00
53915 平凉                  106.67   35.55 1057.00
53916 泾源                  106.32   35.50  936.00
53923 西峰镇                107.63   35.73 1132.00
53924 灵台                  107.40   35.15 1247.00
53925 镇原                  107.18   35.68 1021.00
53926 泾川                  107.71   35.40 1218.00
53930 华池                  107.98   36.45  694.00
53937 宁县                  108.00   35.42  426.00
53938 旬邑                  108.33   35.11 1126.00
53941 白水                  109.58   35.18  357.00
53942 洛川                  109.50   35.81  294.00
53947 铜川                  109.07   35.08  202.00
53948 蒲城                  109.58   34.95  547.00
53955 韩城                  110.45   35.46 1404.00
53956 万荣                  110.83   35.40  512.00
53958 临猗                  110.72   35.15  327.00
53959 运城                  111.02   35.03  516.00
53976 晋城                  112.83   35.51  870.00
53980 肥乡                  114.80   36.55  727.00
53986 新乡                  113.88   35.31 1062.00
53991 汤阴                  114.35   35.93 1020.00
53996 成安                  114.70   36.45  376.00
54026 扎鲁特                120.90   44.57  209.00
54027 巴林                  119.40   43.83 1281.00
54049 长岭                  123.97   44.25  677.00
54064 农安                  125.16   44.41  812.00
54069 九台                  125.80   44.17 1445.00
54072 榆树                  126.51   44.81  983.00
54076 舒兰                  126.93   44.42 1490.00
54080 五常                  127.15   44.90 1141.00
54093 穆棱                  130.55   44.93 1151.00
54094 牡丹江                129.60   44.57  876.00
54098 宁安                  129.46   44.33 1017.00
54099 东宁                  131.18   44.10 1363.00
54102 锡林浩特              116.12   43.95  132.00
54134 开鲁县                121.28   43.60  417.00
54135 通辽                  122.27   43.60 1316.00
54154 梨树                  124.30   43.35 1415.00
54156 公主岭                124.80   43.52  251.00
54165 双阳                  125.65   43.50 1056.00
54171 永吉                  126.57   43.70 1160.00
54172 九站                  126.47   43.95   90.00
54186 敦化                  128.20   43.37 1456.00
54213 翁牛特旗              119.03   42.95 1227.00
54218 赤峰                  118.97   42.27 1268.00
54223 奈曼旗                120.65   42.85 1201.00
